Municipio,Provincia
Tábara Arriba,Azua
Sabana Yegua,Azua
Pueblo Viejo,Azua
Peralta,Azua
Padre Las Casas,Azua
Las Yayas de Viajama,Azua
Las Charcas,Azua
Guayabal,Azua
Estebanía,Azua
Azua,Azua
Villa Jaragua,Bahoruco
Tamayo,Bahoruco
Neiba,Bahoruco
Los Ríos,Bahoruco
Galván,Bahoruco
Vicente Noble,Barahona
Polo,Barahona
Paraíso,Barahona
Las Salinas,Barahona
La Ciénaga,Barahona
Jaquimeyes,Barahona
Fundación,Barahona
Enriquillo,Barahona
El Peñón,Barahona
Cabral,Barahona
Barahona,Barahona
Restauración,Dajabón
Partido,Dajabón
Loma de Cabrera,Dajabón
El Pino,Dajabón
Dajabón,Dajabón
Santo Domingo,Distrito Nacional
Villa Riva,Duarte
San Francisco de Macorís,Duarte
Pimentel,Duarte
Las Guáranas,Duarte
Hostos,Duarte
Castillo,Duarte
Arenoso,Duarte
Miches,El Seibo
El Seibo,El Seibo
Pedro Santana,Elías Piña
Juan Santiago,Elías Piña
Hondo Valle,Elías Piña
El Llano,Elías Piña
Comendador,Elías Piña
Bánica,Elías Piña
San Víctor​,Espaillat
Moca,Espaillat
Jamao Al Norte,Espaillat
Gaspar Hernández,Espaillat
Cayetano Germosén,Espaillat
Sabana de la Mar,Hato Mayor
Hato Mayor,Hato Mayor
El Valle,Hato Mayor
Villa Tapia,Hermanas Mirabal
Tenares,Hermanas Mirabal
Salcedo,Hermanas Mirabal
Postrer Río,Independencia
Mella,Independencia
La Descubierta,Independencia
Jimaní,Independencia
Duvergé,Independencia
Cristóbal,Independencia
San Rafael del Yuma,La Altagracia
Higüey,La Altagracia
Villa Hermosa,La Romana
La Romana,La Romana
Guaymate,La Romana
La Vega,La Vega
Jima Abajo,La Vega
Jarabacoa,La Vega
Constanza,La Vega
Río San Juan,María Trinidad Sánchez
Nagua,María Trinidad Sánchez
El Factor,María Trinidad Sánchez
Cabrera,María Trinidad Sánchez
Piedra Blanca,Monseñor Nouel
Maimón,Monseñor Nouel
Bonao,Monseñor Nouel
Villa Vásquez,Monte Cristi
Pepillo Salcedo,Monte Cristi
Monte Cristi,Monte Cristi
Las Matas de Santa Cruz,Monte Cristi
Guayubín,Monte Cristi
Castañuelas,Monte Cristi
Yamasá,Monte Plata
Sabana Grande de Boyá,Monte Plata
Peralvillo,Monte Plata
Monte Plata,Monte Plata
Bayaguana,Monte Plata
Pedernales,Pedernales
Oviedo,Pedernales
Nizao,Peravia
Matanzas​,Peravia
Baní,Peravia
Villa Montellano,Puerto Plata
Villa Isabela,Puerto Plata
Sosúa,Puerto Plata
Puerto Plata,Puerto Plata
Luperón,Puerto Plata
Los Hidalgos,Puerto Plata
Imbert,Puerto Plata
Guananico,Puerto Plata
Altamira,Puerto Plata
Sánchez,Samaná
Samaná,Samaná
Las Terrenas,Samaná
Yaguate,San Cristóbal
Villa Altagracia,San Cristóbal
San Cristóbal,San Cristóbal
Sabana Grande de Palenque,San Cristóbal
Nigua,San Cristóbal
Los Cacaos,San Cristóbal
Haina,San Cristóbal
Cambita Garabitos,San Cristóbal
San José de Ocoa,San José de Ocoa
Sabana Larga,San José de Ocoa
Rancho Arriba,San José de Ocoa
Vallejuelo,San Juan
San Juan,San Juan
Las Matas de Farfán,San Juan
Juan de Herrera,San Juan
El Cercado,San Juan
Bohechío,San Juan
San Pedro de Macorís,San Pedro de Macorís
Ramón Santana,San Pedro de Macorís
Quisqueya,San Pedro de Macorís
Los Llanos,San Pedro de Macorís
Guayacanes,San Pedro de Macorís
Consuelo,San Pedro de Macorís
La Mata,Sánchez Ramírez
Fantino,Sánchez Ramírez
Cotuí,Sánchez Ramírez
Cevicos,Sánchez Ramírez
Villa González,Santiago
Villa Bisonó (Navarrete),Santiago
Tamboril,Santiago
Santiago de los Caballeros,Santiago
San José de las Matas,Santiago
Sabana Iglesia,Santiago
Puñal,Santiago
Licey al Medio,Santiago
Jánico,Santiago
Baitoa,Santiago
Villa Los Almácigos,Santiago Rodríguez
Sabaneta,Santiago Rodríguez
Monción,Santiago Rodríguez
Santo Domingo Oeste,Santo Domingo
Santo Domingo Norte,Santo Domingo
Santo Domingo Este,Santo Domingo
San Antonio de Guerra,Santo Domingo
Pedro Brand,Santo Domingo
Los Alcarrizos,Santo Domingo
Boca Chica,Santo Domingo
Mao,Valverde
Laguna Salada,Valverde
Esperanza,Valverde
